,Name,Position,Rookie PPG,FGA,FG_Pct,Games Played,MPG,Rebounds,Assists,Steals,3 Pt. Att,3 Pt. Pct,FT Pct,Sophomore PPG
79,Chris Andersen,C,3.0,3.1,.338,24,10.9,3.2,0.3,0.3,0.2,.000,.786,5.2
80,David Andersen,C,14.7,12.0,.494,78,33.7,11.0,1.2,0,0.0,,.697,9.0
81,Alan Anderson,SF,5.8,5.0,.414,36,15.7,1.9,0.9,0.3,1.6,.414,.805,5.8
82,Andrew Anderson,PG,9.5,9.8,.369,77,24.6,2.2,1.5,0,0.6,.205,.724,9.6
83,Antonio Anderson,PG,9.5,9.8,.369,77,24.6,2.2,1.5,0,0.6,.205,.724,9.6
84,Cliff Anderson,SG,1.4,1.6,.241,18,5.2,0.6,0.9,0,,,.429,3.9
85,Dan Anderson,C,14.7,12.0,.494,78,33.7,11.0,1.2,0,0.0,,.697,9.0
86,Derek Anderson,SF,11.7,8.9,.408,66,27.9,2.8,3.4,1.3,1.3,.202,.873,10.8
87,Dwight Anderson,PG,4.2,2.8,.500,5,6.6,0.4,0.6,0.2,0.0,,.700,0
88,Eric Anderson,PF,1.3,1.1,.278,16,2.8,0.9,0.2,0.2,0.0,,.846,1.9
89,Greg Anderson,PF,11.7,9.2,.501,82,24.2,6.3,1.0,0.7,0.1,.200,.604,13.7
90,James Anderson,SF,3.6,3.1,.383,26,11.0,0.9,0.7,0.1,1.8,.391,.778,3.7
91,Jerome Anderson,SG,2.8,2.0,.556,22,5.7,0.6,0.3,0.1,0,N/A,.688,2.4
92,Justin Anderson,SF,3.8,3.2,.406,55,11.8,2.4,0.5,0.3,1.5,.265,.800,7.1
93,Kenny Anderson,PG,7.0,7.5,.390,64,17.0,2.0,3.2,1.0,0.2,.231,.745,16.9
94,Kim Anderson,SF,3.0,3.7,.312,21,10.7,2.1,0.7,0.2,0,N/A,.536,0
95,Kyle Anderson,SF,2.2,2.7,.348,33,10.8,2.2,0.8,0.5,0.3,.273,.643,4.5
96,Michael Anderson,PG,5.7,4.9,.417,36,20.3,2.5,4.3,1.2,0.2,.143,.695,0
97,Nick Anderson,SG,11.5,9.3,.494,81,22.0,3.9,1.5,0.9,0.2,.059,.705,14.1
98,Richard Anderson,C,5.2,5.5,.404,78,16.3,3.5,1.5,0.7,0.2,.368,.696,8.5
99,Ron Anderson,SF,5.8,5.4,.431,36,14.4,2.4,0.9,0.3,0.1,.500,.820,9.2
100,Ryan Anderson,PF,7.4,6.2,.393,66,19.9,4.7,0.8,0.7,2.9,.365,.845,7.7
101,Shandon Anderson,SG,5.9,4.9,.462,65,16.4,2.8,0.8,0.4,0.7,.511,.687,8.3
102,Willie Anderson,SF,18.6,15.9,.498,81,33.8,5.1,4.6,1.9,0.3,.190,.775,15.7
103,Wally Anderzunas,SF,3.6,3.8,.392,44,8.4,1.9,0.2,0,0,N/A,.630,0
104,Martynas Andriuškevičius,C,0.0,0.2,.000,6,1.5,0.7,0.0,0.3,0.0,,,0
105,Don Anielak,,3.0,4.0,.000,1,10.0,2.0,0.0,0,0,N/A,.750,0
106,Ike Anigbogu,C,1.2,0.8,.444,11,2.7,0.8,0.0,0.1,0.0,,.833,0.0
107,Michael Ansley,SF,8.7,6.5,.497,72,17.0,5.0,0.6,0.3,0.0,,.722,5.7
108,Chris Anstey,C,5.9,5.6,.398,41,16.6,3.8,0.9,0.8,0.4,.188,.716,3.3
109,Giannis Antetokounmpo,SF,6.8,5.4,.414,77,24.6,4.4,1.9,0.8,1.5,.347,.683,12.7
110,Kostas Antetokounmpo,PF,1.0,1.5,.000,2,5.5,0.5,0.0,1.0,0.0,,.500,0.0
111,Thanasis Antetokounmpo,SF,3.0,2.0,.750,2,3.0,0.5,0.0,0.0,0.5,.000,,3.0
112,Carmelo Anthony,SF,21.0,17.9,.426,82,36.5,6.1,2.8,1.2,2.6,.322,.777,20.8
113,Greg Anthony,PG,5.5,5.3,.370,82,18.4,1.7,3.8,0.7,0.7,.145,.741,6.6
114,Joel Anthony,PF,3.5,2.5,.467,24,20.8,3.9,0.1,0.4,0.0,,.592,2.2
115,Pero Antić,C,7.0,5.9,.418,50,18.5,4.2,1.2,0.4,3.4,.327,.758,5.7
116,OG Anunoby,SF,5.9,4.7,.471,74,20.0,2.5,0.7,0.7,2.7,.371,.629,7.0
117,Keith Appling,PG,1.2,1.6,.250,5,5.4,0.2,0.2,0.2,0.6,.000,1.000,0
118,Rafael Araújo,C,3.3,3.0,.434,59,12.5,3.1,0.3,0.4,0.1,.333,.782,2.3
119,Stacey Arceneaux,,7.1,8.0,.393,7,15.7,4.6,0.6,0,0,N/A,.462,0
120,Robert Archibald,PF,1.6,1.7,.300,12,6.0,1.4,0.3,0.0,0.0,,.389,1.0
121,Tiny Archibald*,PG,16.0,13.4,.444,82,35.0,3.0,5.5,,,,.757,28.2
122,Ryan Arcidiacono,PG,2.0,1.7,.415,24,12.7,1.0,1.5,0.5,1.3,.290,.833,6.7
123,Jim Ard,C,5.8,5.2,.455,73,14.1,4.6,0.5,,0.0,.000,.598,5.6
124,Gilbert Arenas,PG,10.9,8.2,.453,47,24.6,2.8,3.7,1.5,2.4,.345,.775,18.3
125,Trevor Ariza,SF,5.9,4.9,.442,80,17.3,3.0,1.1,0.9,0.2,.231,.695,4.6
126,Paul Arizin*,SF,17.2,13.3,.407,65,,9.8,2.1,0,0,N/A,.793,25.4
127,Joe Arlauckas,SF,3.8,4.8,.326,9,9.4,1.4,0.9,0.3,0.0,,.750,0
128,Bob Armstrong,,1.5,1.9,.297,19,5.8,2.1,0.2,0,0,N/A,.500,0
129,Brandon Armstrong,SG,1.8,2.4,.318,35,5.6,0.5,0.2,0.2,0.5,.294,.500,1.4
130,Curly Armstrong,,7.3,8.2,.306,52,,,2.0,0,0,N/A,.698,7.3
